id,symbol,# of Res Gene was in
HGNC:31565,MIR194-2,1
HGNC:31566,MIR195,1
HGNC:31568,MIR196A2,1
HGNC:31790,MIR196B,1
HGNC:31570,MIR198,1
HGNC:31571,MIR199A1,1
HGNC:31578,MIR200A,1
HGNC:31579,MIR200B,1
HGNC:31580,MIR200C,1
HGNC:31581,MIR203A,1
HGNC:31582,MIR204,1
HGNC:31583,MIR205,1
HGNC:31584,MIR206,1
HGNC:31577,MIR20A,1
HGNC:31586,MIR21,1
HGNC:31587,MIR210,1
HGNC:31588,MIR211,1
HGNC:31591,MIR214,1
HGNC:31592,MIR215,1
HGNC:31594,MIR217,1
HGNC:31596,MIR218-2,1
HGNC:31597,MIR219A1,1
HGNC:31599,MIR22,1
HGNC:31602,MIR222,1
HGNC:31603,MIR223,1
HGNC:31605,MIR23A,1
HGNC:31606,MIR23B,1
HGNC:31607,MIR24-1,1
HGNC:31609,MIR25,1
HGNC:31610,MIR26A1,1
HGNC:31611,MIR26A2,1
HGNC:31612,MIR26B,1
HGNC:31613,MIR27A,1
HGNC:31614,MIR27B,1
HGNC:31615,MIR28,1
HGNC:31617,MIR296,1
HGNC:31616,MIR29A,1
HGNC:31619,MIR29B1,1
HGNC:31621,MIR29C,1
HGNC:31763,MIR302B,1
HGNC:31624,MIR30A,1
HGNC:31626,MIR30C1,1
HGNC:31630,MIR31,1
HGNC:31632,MIR320A,1
HGNC:31769,MIR326,1
HGNC:32050,MIR329-1,1
HGNC:31773,MIR335,1
HGNC:31775,MIR338,1
HGNC:31634,MIR33A,1
HGNC:31777,MIR340,1
HGNC:31635,MIR34A,1
HGNC:31636,MIR34B,1
HGNC:31637,MIR34C,1
HGNC:31781,MIR367,1
HGNC:31784,MIR370,1
HGNC:31868,MIR375,1
HGNC:31871,MIR378A,1
HGNC:31876,MIR383,1
HGNC:32055,MIR409,1
HGNC:32065,MIR410,1
HGNC:31879,MIR422A,1
HGNC:31881,MIR424,1
HGNC:27645,MIR449A,1
HGNC:32794,MIR449B,1
HGNC:32053,MIR451A,1
HGNC:32340,MIR483,1
HGNC:32342,MIR486-1,1
HGNC:32533,MIR487B,1
HGNC:32075,MIR490,1
HGNC:32082,MIR493,1
HGNC:32084,MIR494,1
HGNC:32085,MIR495,1
HGNC:32088,MIR497,1
HGNC:32136,MIR502,1
HGNC:32138,MIR503,1
HGNC:32139,MIR504,1
HGNC:32140,MIR505,1
HGNC:32145,MIR508,1
HGNC:33675,MIR509-3,1
HGNC:32077,MIR511,1
HGNC:32111,MIR517A,1
HGNC:32124,MIR517C,1
HGNC:32112,MIR519D,1
HGNC:32105,MIR520B,1
HGNC:32108,MIR520C,1
HGNC:32116,MIR520G,1
HGNC:32806,MIR551A,1
HGNC:32830,MIR574,1
HGNC:32871,MIR615,1
HGNC:32892,MIR636,1
HGNC:31638,MIR7-1,1
HGNC:31639,MIR7-2,1
HGNC:31640,MIR7-3,1
HGNC:33654,MIR708,1
HGNC:33643,MIR874,1
HGNC:33648,MIR888,1
HGNC:31641,MIR9-1,1
HGNC:31642,MIR9-2,1
HGNC:31646,MIR9-3,1
HGNC:33684,MIR941-1,1
HGNC:31649,MIR98,1
HGNC:31650,MIR99A,1
HGNC:31476,MIRLET7A1,1
HGNC:31477,MIRLET7A2,1
HGNC:31478,MIRLET7A3,1
HGNC:31479,MIRLET7B,1
HGNC:31480,MIRLET7C,1
HGNC:31481,MIRLET7D,1
HGNC:31482,MIRLET7E,1
HGNC:31483,MIRLET7F1,1
HGNC:31484,MIRLET7F2,1
HGNC:31485,MIRLET7G,1
HGNC:31486,MIRLET7I,1
HGNC:7110,MKNK1,1
HGNC:16997,MLLT11,1
HGNC:7154,MME,1
HGNC:7166,MMP2,1
HGNC:7176,MMP9,1
HGNC:7188,MNT,1
HGNC:16015,MOB1A,1
HGNC:29801,MOB1B,1
HGNC:7315,MS4A1,1
HGNC:7380,MST1,1
HGNC:7396,MT1DP,1
HGNC:7398,MT1F,1
HGNC:7399,MT1G,1
HGNC:14296,MT1M,1
HGNC:7406,MT2A,1
HGNC:7423,MTCP1,1
HGNC:7473,MTRR,1
HGNC:20443,MTSS1,1
HGNC:29789,MTUS1,1
HGNC:29814,MUS81,1
HGNC:7525,MUSK,1
HGNC:7534,MXI1,1
HGNC:7546,MYBBP1A,1
HGNC:18150,MYO18B,1
HGNC:7595,MYO1A,1
HGNC:30125,MZB1,1
HGNC:21683,NAPEPLD,1
HGNC:30450,NAPRT,1
HGNC:1007,NBEAP1,1
HGNC:15486,NCKIPSD,1
HGNC:7668,NCOA1,1
HGNC:7670,NCOA3,1
HGNC:15909,NCOA5,1
HGNC:17091,NCSTN,1
HGNC:7675,NDN,1
HGNC:14460,NDRG2,1
HGNC:14466,NDRG4,1
HGNC:20779,NDST4,1
HGNC:19688,NECTIN4,1
HGNC:7727,NEDD4,1
HGNC:7728,NEDD4L,1
HGNC:7733,NEDD9,1
HGNC:7761,NEURL1,1
HGNC:7776,NFATC2,1
HGNC:7785,NFIB,1
HGNC:7794,NFKB1,1
HGNC:7809,NGFR,1
HGNC:14377,NHP2,1
HGNC:7824,NINJ1,1
HGNC:29878,NIT2,1
HGNC:16364,NKX2-8,1
HGNC:7849,NME1,1
HGNC:7860,NNAT,1
HGNC:16390,NOD1,1
HGNC:21040,NOL7,1
HGNC:7871,NONO,1
HGNC:14378,NOP10,1
HGNC:4333,NOP53,1
HGNC:7895,NPAS2,1
HGNC:24969,NPRL2,1
HGNC:7961,NR0B2,1
HGNC:7968,NR1I2,1
HGNC:7972,NR2C2,1
HGNC:7976,NR2F2,1
HGNC:7980,NR4A1,1
HGNC:7993,NRBP1,1
HGNC:7994,NRCAM,1
HGNC:7996,NRF1,1
HGNC:16229,NRSN2,1
HGNC:8021,NT5E,1
HGNC:8028,NTHL1,1
HGNC:14311,NUAK1,1
HGNC:8060,NUMB,1
HGNC:8061,NUMBL,1
HGNC:29990,NUPR1,1
HGNC:23438,NUTM2A,1
HGNC:23445,NUTM2B,1
HGNC:17190,OLFM4,1
HGNC:9398,OLIG2,1
HGNC:8138,ONECUT1,1
HGNC:8143,OPCML,1
HGNC:29971,OSCP1,1
HGNC:30093,OSGIN1,1
HGNC:19152,PACRG,1
HGNC:8573,PAEP,1
HGNC:8574,PAFAH1B1,1
HGNC:30043,PAG1,1
HGNC:17970,PAIP2,1
HGNC:15916,PAK5,1
HGNC:17068,PALLD,1
HGNC:51237,PANO1,1
HGNC:8600,PANX2,1
HGNC:14615,PAPPA2,1
HGNC:16369,PARK7,1
HGNC:272,PARP2,1
HGNC:273,PARP3,1
HGNC:17270,PASK,1
HGNC:13071,PATZ1,1
HGNC:8614,PAWR,1
HGNC:8618,PAX4,1
HGNC:8620,PAX6,1
HGNC:18282,PBK,1
HGNC:23301,PBLD,1
HGNC:8636,PC,1
HGNC:13404,PCDH10,1
HGNC:14267,PCDH17,1
HGNC:8660,PCDH8,1
HGNC:8661,PCDH9,1
HGNC:8716,PCDHGC3,1
HGNC:12929,PCGF2,1
HGNC:13406,PCLO,1
HGNC:8729,PCNA,1
HGNC:13408,PDCD11,1
HGNC:8764,PDCD5,1
HGNC:8805,PDGFRL,1
HGNC:16501,PDLIM4,1
HGNC:20418,PDS5B,1
HGNC:23041,PDSS2,1
HGNC:6107,PDX1,1
HGNC:8822,PEA15,1
HGNC:8630,PEBP1,1
HGNC:8826,PEG3,1
HGNC:8846,PER2,1
HGNC:8861,PF4,1
HGNC:8881,PFN1,1
HGNC:16089,PGRMC2,1
HGNC:25793,PHACTR4,1
HGNC:8912,PHB,1
HGNC:15682,PHC3,1
HGNC:8919,PHF1,1
HGNC:12385,PHLDA2,1
HGNC:8934,PHLDA3,1
HGNC:20610,PHLPP1,1
HGNC:29149,PHLPP2,1
HGNC:691,PHOX2A,1
HGNC:2752,PIAS1,1
HGNC:17002,PIAS4,1
HGNC:8974,PIK3C3,1
HGNC:8981,PIK3R3,1
HGNC:8988,PIN1,1
HGNC:30046,PINX1,1
HGNC:17644,PIWIL2,1
HGNC:9008,PKD1,1
HGNC:9405,PKN1,1
HGNC:9022,PKNOX1,1
HGNC:9031,PLA2G2A,1
HGNC:9040,PLA2G7,1
HGNC:9042,PLA2R1,1
HGNC:17824,PLAAT2,1
HGNC:17825,PLAAT3,1
HGNC:9869,PLAAT4,1
HGNC:9046,PLAGL1,1
HGNC:9056,PLCB3,1
HGNC:9060,PLCD1,1
HGNC:17175,PLCE1,1
HGNC:9067,PLD1,1
HGNC:24310,PLEKHO1,1
HGNC:27001,PLK5,1
HGNC:9106,PLXNC1,1
HGNC:9108,PMAIP1,1
HGNC:9162,PNN,1
HGNC:17278,PNRC1,1
HGNC:18755,POLE4,1
HGNC:9181,POLH,1
HGNC:9213,POU2F2,1
HGNC:19864,POU2F3,1
HGNC:21694,POU6F2,1
HGNC:9232,PPARA,1
HGNC:9275,PPM1A,1
HGNC:9277,PPM1D,1
HGNC:16381,PPM1L,1
HGNC:9281,PPP1CA,1
HGNC:9282,PPP1CB,1
HGNC:9287,PPP1R1B,1
HGNC:9299,PPP2CA,1
HGNC:9300,PPP2CB,1
HGNC:9303,PPP2R1B,1
HGNC:9306,PPP2R2C,1
HGNC:9311,PPP2R5C,1
HGNC:9316,PPP3CC,1
HGNC:9323,PPP6C,1
HGNC:13996,PRDM11,1
HGNC:9347,PRDM2,1
HGNC:9348,PRDM4,1
HGNC:9349,PRDM5,1
HGNC:9360,PRF1,1
HGNC:17019,PRICKLE1,1
HGNC:9376,PRKAA1,1
HGNC:9381,PRKACB,1
HGNC:9399,PRKCD,1
HGNC:9401,PRKCE,1
HGNC:9404,PRKCI,1
HGNC:48942,PRNCR1,1
HGNC:9453,PRODH,1
HGNC:9454,PROM1,1
HGNC:9459,PROX1,1
HGNC:9462,PRPS1,1
HGNC:31682,PRR5,1
HGNC:9475,PRSS1,1
HGNC:9491,PRSS8,1
HGNC:9545,PSMB8,1
HGNC:9561,PSMD4,1
HGNC:43959,PTCSC3,1
HGNC:9591,PTGDR,1
HGNC:9605,PTGS2,1
HGNC:9612,PTK2B,1
HGNC:9618,PTK7,1
HGNC:9636,PTP4A3,1
HGNC:9308,PTPA,1
HGNC:9642,PTPN1,1
HGNC:9652,PTPN22,1
HGNC:14406,PTPN23,1
HGNC:9665,PTPRB,1
HGNC:9670,PTPRF,1
HGNC:9673,PTPRJ,1
HGNC:9674,PTPRK,1
HGNC:9678,PTPRO,1
HGNC:9681,PTPRS,1
HGNC:9690,PTTG1,1
HGNC:29998,PWAR4,1
HGNC:26359,PXDNL,1
HGNC:16608,PYCARD,1
HGNC:28894,PYHIN1,1
HGNC:18238,RAB25,1
HGNC:9788,RAB7A,1
HGNC:18072,RABL3,1
HGNC:4399,RACK1,1
HGNC:14428,RANBP17,1
HGNC:9848,RANBP2,1
HGNC:13727,RANBP9,1
HGNC:9855,RAP1A,1
HGNC:9858,RAP1GAP,1
HGNC:9865,RARB,1
HGNC:9873,RASAL1,1
HGNC:9874,RASAL2,1
HGNC:24246,RASGEF1A,1
HGNC:16954,RASL10A,1
HGNC:30295,RASL10B,1
HGNC:23802,RASL11A,1
HGNC:9882,RASSF1,1
HGNC:33984,RASSF10,1
HGNC:9883,RASSF2,1
HGNC:14271,RASSF3,1
HGNC:20793,RASSF4,1
HGNC:17609,RASSF5,1
HGNC:13232,RASSF8,1
HGNC:15574,RB1CC1,1
HGNC:9890,RBBP7,1
HGNC:9891,RBBP8,1
HGNC:9893,RBL1,1
HGNC:9894,RBL2,1
HGNC:14219,RBM14,1
HGNC:15818,RBM38,1
HGNC:9901,RBM4,1
HGNC:9902,RBM5,1
HGNC:9903,RBM6,1
HGNC:13427,RBMS3,1
HGNC:9910,RBMX,1
HGNC:9919,RBP1,1
HGNC:17479,RCHY1,1
HGNC:28310,RCSD1,1
HGNC:11345,RECK,1
HGNC:9957,RELN,1
HGNC:668,RHOB,1
HGNC:18756,RHOBTB2,1
HGNC:25925,RITA1,1
HGNC:10050,RNASEL,1
HGNC:21686,RNASET2,1
HGNC:671,RND3,1
HGNC:17384,RNF111,1
HGNC:17023,RNF139,1
HGNC:20457,RNF144A,1
HGNC:27752,RNF180,1
HGNC:50866,RNF217-AS1,1
HGNC:10071,RNF8,1
HGNC:10074,RNH1,1
HGNC:10249,ROBO1,1
HGNC:17985,ROBO4,1
HGNC:10257,ROR2,1
HGNC:10289,RPA1,1
HGNC:10301,RPL11,1
HGNC:24201,RPRM,1
HGNC:10388,RPS15,1
HGNC:10429,RPS6,1
HGNC:10431,RPS6KA2,1
HGNC:10432,RPS6KA3,1
HGNC:10433,RPS6KA4,1
HGNC:10435,RPS6KA6,1
HGNC:10436,RPS6KB1,1
HGNC:10437,RPS6KB2,1
HGNC:10451,RRM1,1
HGNC:10452,RRM2,1
HGNC:14085,RTN4,1
HGNC:18647,RTN4IP1,1
HGNC:10473,RUNX3,1
HGNC:10477,RXRA,1
HGNC:10480,RYBP,1
HGNC:10488,S100A11,1
HGNC:10492,S100A2,1
HGNC:3169,S1PR2,1
HGNC:10513,SAA1,1
HGNC:10520,SAFB,1
HGNC:21605,SAFB2,1
HGNC:10526,SALL2,1
HGNC:15924,SALL4,1
HGNC:1349,SAMD9L,1
HGNC:19182,SASH1,1
HGNC:19440,SBDS,1
HGNC:10816,SCG5,1
HGNC:18384,SCGB3A1,1
HGNC:10596,SCN8A,1
HGNC:30377,SCRIB,1
HGNC:30425,SCUBE2,1
HGNC:14372,SCYL1,1
HGNC:10699,SEC14L2,1
HGNC:10702,SEC23B,1
HGNC:17052,SEC31A,1
HGNC:10719,SELENBP1,1
HGNC:10724,SEMA3B,1
HGNC:10725,SEMA3C,1
HGNC:10728,SEMA3F,1
HGNC:9165,SEPTIN4,1
HGNC:20607,SERP2,1
HGNC:8949,SERPINB5,1
HGNC:8945,SERPINI2,1
HGNC:10773,SFN,1
HGNC:10774,SFPQ,1
HGNC:10776,SFRP1,1
HGNC:10777,SFRP2,1
HGNC:10778,SFRP4,1
HGNC:10779,SFRP5,1
HGNC:29799,SGMS1,1
HGNC:10833,SH3GLB1,1
HGNC:25159,SHISA3,1
HGNC:19336,SHPRH,1
HGNC:10857,SIAH1,1
HGNC:11142,SIK1,1
HGNC:10886,SIRT2,1
HGNC:14931,SIRT3,1
HGNC:14932,SIRT4,1
HGNC:14934,SIRT6,1
HGNC:10897,SKIL,1
HGNC:10901,SKP2,1
HGNC:10940,SLC1A2,1
HGNC:3018,SLC26A3,1
HGNC:12876,SLC39A1,1
HGNC:17129,SLC39A4,1
HGNC:8642,SLC45A3,1
HGNC:26439,SLC47A2,1
HGNC:16628,SLC49A4,1
HGNC:19119,SLC5A8,1
HGNC:11075,SLC9A3R1,1
HGNC:10959,SLCO1B1,1
HGNC:26633,SLFN11,1
HGNC:11098,SMARCA2,1
HGNC:11104,SMARCC1,1
HGNC:11106,SMARCD1,1
HGNC:29090,SMCHD1,1
HGNC:21067,SMYD4,1
HGNC:11139,SNCAIP,1
HGNC:10200,SNORD50A,1
HGNC:19382,SOCS2,1
HGNC:11189,SOX1,1
HGNC:11191,SOX11,1
HGNC:11196,SOX15,1
HGNC:18122,SOX17,1
HGNC:20209,SOX2-OT,1
HGNC:18196,SOX7,1
HGNC:49321,SOX9-AS1,1
HGNC:11206,SP100,1
HGNC:11219,SPARC,1
HGNC:11220,SPARCL1,1
HGNC:30615,SPECC1,1
HGNC:11240,SPHK1,1
HGNC:11241,SPI1,1
HGNC:11244,SPINK1,1
HGNC:24643,SPINK7,1
HGNC:11247,SPINT2,1
HGNC:20249,SPRED1,1
HGNC:15533,SPRY4,1
HGNC:11275,SPTBN1,1
HGNC:11309,SRPX,1
HGNC:15592,SS18L1,1
HGNC:15831,SSBP2,1
HGNC:11343,ST13,1
HGNC:33520,ST20,1
HGNC:11351,ST7,1
HGNC:11356,STAG3,1
HGNC:19164,STARD13,1
HGNC:10879,STIL,1
HGNC:27962,STING1,1
HGNC:11388,STK10,1
HGNC:21373,STK40,1
HGNC:6510,STMN1,1
HGNC:30172,STRADA,1
HGNC:11427,STUB1,1
HGNC:11377,SULT1E1,1
HGNC:24466,SYNM,1
HGNC:17732,SYNPO2,1
HGNC:14962,SYT13,1
HGNC:11530,TACSTD2,1
HGNC:11553,TAGLN,1
HGNC:29364,TANC1,1
HGNC:11562,TANK,1
HGNC:43,TAP1,1
HGNC:44,TAP2,1
HGNC:11573,TAT,1
HGNC:29082,TBC1D12,1
HGNC:11584,TBK1,1
HGNC:11586,TBL2,1
HGNC:29551,TBRG1,1
HGNC:11604,TBX5,1
HGNC:11612,TCEA1,1
HGNC:28336,TCEAL7,1
HGNC:11623,TCF12,1
HGNC:11634,TCF4,1
HGNC:28135,TCHP,1
HGNC:11701,TDGF1,1
HGNC:43642,TDRG1,1
HGNC:11719,TEC,1
HGNC:14620,TES,1
HGNC:11742,TFAP2A,1
HGNC:11753,TFEB,1
HGNC:11757,TFF3,1
HGNC:11761,TFPI2,1
HGNC:11765,TGFA,1
HGNC:11766,TGFB1,1
HGNC:11771,TGFBI,1
HGNC:11772,TGFBR1,1
HGNC:11779,TGM3,1
HGNC:19217,THADA,1
HGNC:11784,THBD,1
HGNC:11785,THBS1,1
HGNC:11786,THBS2,1
HGNC:11796,THRA,1
HGNC:22964,THRAP3,1
HGNC:11799,THRB,1
HGNC:17754,THSD1,1
HGNC:11801,THY1,1
HGNC:26838,TIGIT,1
HGNC:11818,TIMM8B,1
HGNC:11820,TIMP1,1
HGNC:11822,TIMP3,1
HGNC:23696,TIPARP,1
HGNC:11842,TLK2,1
HGNC:11844,TLL2,1
HGNC:11866,TMEFF1,1
HGNC:11867,TMEFF2,1
HGNC:16667,TMEM30A,1
HGNC:27954,TMPRSS11A,1
HGNC:16517,TMPRSS6,1
HGNC:11885,TMSB4XP8,1
HGNC:11892,TNF,1
HGNC:26277,TNFAIP8L2,1
HGNC:11904,TNFRSF10A,1
HGNC:11905,TNFRSF10B,1
HGNC:11908,TNFRSF11A,1
HGNC:18152,TNFRSF12A,1
HGNC:11914,TNFRSF18,1
HGNC:11924,TNFRSF9,1
HGNC:11927,TNFSF12,1
HGNC:11939,TNFSF9,1
HGNC:11940,TNK1,1
HGNC:11984,TOM1L2,1
HGNC:21653,TOPORS,1
HGNC:12000,TP53BP2,1
HGNC:43652,TP53COR1,1
HGNC:18022,TP53INP1,1
HGNC:12003,TP73,1
HGNC:12010,TPM1,1
HGNC:12014,TPMT,1
HGNC:12017,TPR,1
HGNC:12022,TPT1,1
HGNC:17299,TPTE2,1
HGNC:12032,TRAF2,1
HGNC:12035,TRAF5,1
HGNC:12270,TREX2,1
HGNC:12271,TRG,1
HGNC:9976,TRIM13,1
HGNC:16284,TRIM15,1
HGNC:12962,TRIM26,1
HGNC:9975,TRIM27,1
HGNC:10064,TRIM3,1
HGNC:16289,TRIM31,1
HGNC:16380,TRIM32,1
HGNC:16290,TRIM33,1
HGNC:16285,TRIM35,1
HGNC:25574,TRIM62,1
HGNC:20286,TRIT1,1
HGNC:16826,TSC22D1,1
HGNC:15971,TSG101,1
HGNC:30743,TSLP,1
HGNC:21643,TSPAN13,1
HGNC:13410,TSPAN32,1
HGNC:12382,TSPYL1,1
HGNC:12386,TSSC4,1
HGNC:12394,TTC4,1
HGNC:20772,TUBB3,1
HGNC:31010,TUSC1,1
HGNC:17034,TUSC2,1
HGNC:27701,TUSC7,1
HGNC:20670,TWIST2,1
HGNC:16952,TXNIP,1
HGNC:12440,TYK2,1
HGNC:12446,TYRO3,1
HGNC:23156,U2AF2,1
HGNC:37269,UBE2QL1,1
HGNC:25009,UBE2T,1
HGNC:12500,UBE4B,1
HGNC:30791,UBIAD1,1
HGNC:16806,UBR5,1
HGNC:12513,UCHL1,1
HGNC:23039,UFL1,1
HGNC:12529,UGT1A,1
HGNC:12541,UGT1A9,1
HGNC:12557,UHRF2,1
HGNC:30298,UIMC1,1
HGNC:12563,UMPS,1
HGNC:12567,UNC5A,1
HGNC:12568,UNC5B,1
HGNC:12569,UNC5C,1
HGNC:18634,UNC5D,1
HGNC:20485,USP12,1
HGNC:20059,USP33,1
HGNC:12640,UVRAG,1
HGNC:12679,VDR,1
HGNC:12681,VEGFB,1
HGNC:12682,VEGFC,1
HGNC:18258,VEZT,1
HGNC:12690,VIL1,1
HGNC:12692,VIM,1
HGNC:24928,VPS37A,1
HGNC:25608,VPS53,1
HGNC:30085,VSIR,1
HGNC:12722,VSNL1,1
HGNC:28873,VTCN1,1
HGNC:17792,VTI1A,1
HGNC:37054,VTRNA2-1,1
HGNC:6658,VWA5A,1
HGNC:12731,WAS,1
HGNC:26157,WDCP,1
HGNC:13831,WDR11,1
HGNC:14098,WDR12,1
HGNC:30914,WDR48,1
HGNC:26960,WDR90,1
HGNC:15466,WFDC1,1
HGNC:14542,WNK2,1
HGNC:12784,WNT5A,1
HGNC:12786,WNT7A,1
HGNC:12799,WWOX,1
HGNC:30932,XAF1,1
HGNC:12801,XBP1,1
HGNC:592,XIAP,1
HGNC:12810,XIST,1
HGNC:17675,XPO5,1
HGNC:12830,XRCC3,1
HGNC:12833,XRCC5,1
HGNC:24859,YEATS4,1
HGNC:12841,YES1,1
HGNC:18327,YPEL3,1
HGNC:18329,YPEL5,1
HGNC:12851,YWHAE,1
HGNC:30935,YY1AP1,1
HGNC:13030,ZBTB18,1
HGNC:23847,ZBTB4,1
HGNC:4930,ZBTB48,1
HGNC:31700,ZBTB7C,1
HGNC:25893,ZC3H10,1
HGNC:18469,ZDHHC2,1
HGNC:11642,ZEB1,1
HGNC:33101,ZFAS1,1
HGNC:12862,ZFP36,1
HGNC:1108,ZFP36L2,1
HGNC:28682,ZFP82,1
HGNC:12872,ZIC1,1
HGNC:19412,ZMYND10,1
HGNC:16966,ZMYND11,1
HGNC:12976,ZNF185,1
HGNC:13032,ZNF24,1
HGNC:18410,ZNF292,1
HGNC:15489,ZNF331,1
HGNC:18316,ZNF366,1
HGNC:17409,ZNF382,1
HGNC:23226,ZNF471,1
HGNC:28742,ZNF620,1
HGNC:25821,ZNF668,1
HGNC:25843,ZNF750,1
HGNC:13200,ZYX,1